"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1994186829189534209","Thu Nov 27 23:55:37 +0000 2025","0","@kompascom Tukang tipu ijasah palsu.. Si @bobbynasution_ mantu junjunganmu Jokowi aja ORA tau metu..","1994193425738985903","","kompascom","in","","0","0","0","https://x.com/undefined/status/1994193425738985903","1766477518784380928",
"1993504197929845212","Thu Nov 27 23:49:06 +0000 2025","0","@Jumianto_RK Jangan ngeributin garis merah !.. itu foto ijasah sudah 100% BEDA ... intinya ijasah itu Palsu ... jadi untuk membungkam mulut Termol cukup tanyakan ke anak SD' adik kecil ini foto jokowi apa bukan jgn lupa sandingkan foto jokowi saat jadi RI1' biar anak SD ygn membandingkan .","1994191786575589709","","Jumianto_RK","in","","0","0","0","https://x.com/undefined/status/1994191786575589709","1842903022038634496",
"1994188381564092624","Thu Nov 27 23:35:35 +0000 2025","0","Dari dulu josua ini omdo gak bisa bantah mas Roy dg keahliannya tapi bacot tanpa bukti!!! Mana analisa loe yg menyatakan ijasah jokowi asli??","1994188381564092624","","","in","","0","0","0","https://x.com/undefined/status/1994188381564092624","1873988446915878913",
"1993868652307992901","Thu Nov 27 23:05:31 +0000 2025","0","@xquitavee Memang mereka hoax.. kalau soal ijasah roy suryo cs tidak segera disidangkan maka segala fitnah hoax toxic provokatif manipulatif akan selalu menerpa pak Jokowi..kami sebagai orang Jokowi harus setia tegak lurus mengkaunter setiap isu.. merdeka 🇮🇩","1994180815408767224","","xquitavee","in","","0","0","0","https://x.com/undefined/status/1994180815408767224","1513499762560929794",
"1994067231496618244","Thu Nov 27 22:50:09 +0000 2025","1","@blank0429 Yang pasti jokowi sekeluarga dan kroninya tersenyum girang gembira melihat parapara ternak nya terus membela ijasah palsunya ","1994176951368434109","","blank0429","in","","0","0","0","https://x.com/undefined/status/1994176951368434109","1814987097297858560",
"1994114766781243773","Thu Nov 27 22:45:13 +0000 2025","6","@Hasbil_Lbs Fix ya man teman terputus hubungan antara Demokrat dan Roy Suryo terkait ijasah pak Jokowi Itu pergerakan pribadi RS bukan misi Demokrat Dipersilahkan hukum bicara sebagaimana sewajibnya","1994175706499342689","","Hasbil_Lbs","in","","0","4","3","https://x.com/undefined/status/1994175706499342689","1189039138835554304",
"1994171759730545004","Thu Nov 27 22:29:32 +0000 2025","0","Metamorfosis Jokowi belum tersentuh olh Polda.Profil gigi geligi ijasah dan kematian Hari Mulyono.@DokterTifa @susno2g","1994171759730545004","","","in","","0","0","0","https://x.com/undefined/status/1994171759730545004","1639157189792378882",
"1994164350165414190","Thu Nov 27 22:00:05 +0000 2025","0","Andai pada ahirnya pres Prabowo mengeluarkan kebijakan agar polemik ijasah ( palsu) Jokowi dihentikan anda mau apa? Hormati reputasi presiden terdahulu jgn di-kuyo2( di bully). Prabowo siap pasang badan. Hidup Jokowi hidup Jokowi hidup Jokowi. Yel2 semangat guru politik.","1994164350165414190","","","in","","0","0","0","https://x.com/undefined/status/1994164350165414190","1639157189792378882",
"1994008067034501236","Thu Nov 27 21:46:52 +0000 2025","1","@WPenangsang03 @M45Broo_ Yg posting ini juga orang bodoh karna mulyono cuma bonrka yg tidak mempunyai ijasah menuntut roy cs ke pengadilan tapi yg nubtut di pangil pengadilan kagak pernah datang jokontol jokowi kontol emang dongok","1994161022182281478","","WPenangsang03","in","","0","0","0","https://x.com/undefined/status/1994161022182281478","1644275631600054272",
"1993960719092731934","Thu Nov 27 21:33:39 +0000 2025","2","@Eko_setia_1 @susipudjiastuti Justru Jokowi yang semestinya diadili beserta para Termul dan diarak serta dilempari dimiskinkan karena telah merampok uang rakyat dan menyengsarakan rakyat serta selalu menjadi pemantik kegaduhan dalam hal ijasah palsunya.","1994157697281970410","","Eko_setia_1","in","","0","0","0","https://x.com/undefined/status/1994157697281970410","1896219417262149632",
"1994094149424066588","Thu Nov 27 17:22:05 +0000 2025","0","@qorygore mungkin tumblrnya isi ijasah asli jokowi","1994094387958300695","","qorygore","in","","0","0","0","https://x.com/undefined/status/1994094387958300695","850683963924291584",
"1994087007602266278","Thu Nov 27 16:52:45 +0000 2025","0","...bahasa polisi bukan otentik tapi identik..artinya ijasah jokowi palsu donk krn tdk otentik...","1994087007602266278","","","in","","0","0","0","https://x.com/undefined/status/1994087007602266278","388798201",
"1994060414444032091","Thu Nov 27 15:29:37 +0000 2025","1","@Hardiyan_36 Saya sih ngga kepanasan saya ini cuman ikut berpartisipasi sebagai warga negara dalam urusan membuat opini dan asumsi yang berbasis pada fakta sederhana. Apa itu? UGM sudah bilang sah dan memang Jokowi adalah alumninya artinya ijasah yang dikeluarkan oleh UGM diakui. Diluar","1994066087642845333","","Hardiyan_36","in","","0","2","0","https://x.com/undefined/status/1994066087642845333","1003546165105704962",
"1993960719092731934","Thu Nov 27 14:58:15 +0000 2025","4","@susipudjiastuti Yang terhormat ibu @susipudjiastuti ... Ibu tidak menangis dengan kasus pak Jokowi ... Pak Jokowi setiap hari di kalungi kardus dengan tulisan pembohong ijasah palsu padahal belum ada persidangan yg menyatakan ijasah pak Jokowi palsu... Pak Jokowi telah di hukum tanpa peradilan","1994058192779903262","","susipudjiastuti","in","","1","26","0","https://x.com/undefined/status/1994058192779903262","831401530708234241",
"1993689050243387571","Thu Nov 27 14:42:46 +0000 2025","0","@aewin86 Isue sakit alergi kulit diframing gagal Isue ijasah palsu meredup ketauan sutradaranya Isue woosh gagal total New isue Bandara .......bahkan justru elite politik Negri ini yang menghembuskan hanya krn ingin P'de jokowi ancur....si Tukang kayu Tangguh","1994054294111223911","","aewin86","in","","0","0","0","https://x.com/undefined/status/1994054294111223911","1481168077362724868",
"1993541182891479077","Thu Nov 27 14:29:58 +0000 2025","0","@blank0429 @Shanen_AliZain Ada ngak rektor bilang ijasah jokowi palsu? Kalo dia sudah parang badan berarti di ngak mkn lawan jokowi. Kalo dikata ijasah ada asli berarti seluruh proses belajar otomatis dipenuhi semua","1994051072726323407","","blank0429","in","","0","1","0","https://x.com/undefined/status/1994051072726323407","1604802589974937600",
