"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1917197568641273869","Wed Apr 30 22:02:40 +0000 2025","0","@aniesbaswedan @officialMKRI Mas anis mas anis masih main presiden2 an","1917701161605554662","","aniesbaswedan","in","","0","1","0","https://x.com/undefined/status/1917701161605554662","1302673904461250561",
"1917560510184317323","Wed Apr 30 15:44:31 +0000 2025","0","@ikaanbuntel @aniesbaswedan mana ada Anis berpendapat? dia cuma empati aja itu tanyain Anis....itu empati cuma dimulut aja atau gimana sih seharuse empati itu prakteke gimana mas Anis mas Anis ","1917605994668110321","","ikaanbuntel","in","","0","0","0","https://x.com/undefined/status/1917605994668110321","1751647048867471360",
"1917548497764770090","Wed Apr 30 13:53:09 +0000 2025","2","@tekarok007 @pytrzz @ChovaMelians26 @bitCarli77 @balapurik @mas_veel_ @gtobing2903 @abang_regar @AndreasSolusi @DianSandiU @CCICPolri @DivHumas_Polri @DokterTifa @gibran_tweet Paling kabur ke .. Yg huruf tebal .. Jadi bener ya anis yaman https://t.co/WvNDNPx6Zc","1917577968119078970","https://pbs.twimg.com/media/Gpya5aYbAAEz519.jpg","tekarok007","in","","0","0","1","https://x.com/undefined/status/1917577968119078970","576755999",
"1917247535632077111","Wed Apr 30 07:59:49 +0000 2025","0","@juontor @convomf Kemarin pemilu nyoblos Anis ya mas !! Pantes goblok","1917489050103210437","","juontor","in","","0","0","0","https://x.com/undefined/status/1917489050103210437","3628454533",
"1916897232957440071","Wed Apr 30 03:42:02 +0000 2025","0","@Thomass90392754 @kompascom Nyelam sambil minum..ngekel mas..hi..hi...","1917424175544951131","","Thomass90392754","in","","0","0","0","https://x.com/undefined/status/1917424175544951131","1510131291525902337",
"1916738958098116962","Tue Apr 29 17:28:08 +0000 2025","0","@Boediantar4 Maaf mas masih rame yang malu","1917269682362765347","","Boediantar4","in","","0","0","0","https://x.com/undefined/status/1917269682362765347","1510131291525902337",
"1916897232957440071","Tue Apr 29 17:12:14 +0000 2025","0","@Thomass90392754 @kompascom Itu hoby mas","1917265682947006805","","Thomass90392754","in","","0","1","0","https://x.com/undefined/status/1917265682947006805","1510131291525902337",
"1916897232957440071","Tue Apr 29 17:11:28 +0000 2025","0","@pratman66 @kompascom Bukankah jabatan essalonnitu PNS aktif..gimna bisa yang pensiun...logika hukumnya gimana?? Mohon pencerahan nya mas @pratman66","1917265488423584070","","pratman66","in","","0","0","0","https://x.com/undefined/status/1917265488423584070","1510131291525902337",
"1917229907744292990","Tue Apr 29 14:50:05 +0000 2025","0","ini kenapa anis tau jokes fandom sungkem ke mas rangge dah","1917229907744292990","","","in","","0","0","0","https://x.com/undefined/status/1917229907744292990","1023135224832512001",
"1917194612319617149","Tue Apr 29 13:59:43 +0000 2025","0","@jehaes_ @Isra_KK @RanggaWidigda Utpit ketemu mas anis","1917217234847670370","","jehaes_","in","","0","0","0","https://x.com/undefined/status/1917217234847670370","1794265505328758784",
"1917051650965180606","Tue Apr 29 13:55:41 +0000 2025","0","@Mieayam_10rb @P27B_ @haagavi @bblue_haneull angin tak punya KTP 'susah kalo nyalahin angin mas Anis mas anis' ","1917216220182659378","","Mieayam_10rb","in","","0","0","0","https://x.com/undefined/status/1917216220182659378","1842869919744155648",
"1916727596555046927","Tue Apr 29 11:34:50 +0000 2025","1","@R16Dwi @aniesbaswedan Bansos tutup mas jgn marah ke p. Anis","1917180771338707051","","R16Dwi","in","","0","0","0","https://x.com/undefined/status/1917180771338707051","1431235359107477504",
"1916998393018077406","Tue Apr 29 09:07:28 +0000 2025","0","@khususcomeback @Lranger0206 @convomf Lu kira dengan ngatain gw mas anis tuh bikin gw apa sih? Malu? Wkwkkw yg ada gw mah bangga ga masuk barisan tolol Gaada yg bawa2 dia lu yg panas sendiri. Pantes aja pemerintah bodoh selalu memimpin rakyatnya aja kaya lu ","1917143688595251572","","khususcomeback","in","","0","0","0","https://x.com/undefined/status/1917143688595251572","1014282093298311168",
"1916735943714983962","Tue Apr 29 01:41:51 +0000 2025","1","@papua_muslim98 Ide yg bagus Pak Anis sangat layak bahkan utk seorang RI-1. Tapi sayang Pimp MPR ttp kekeh penetapan si oon gib sah sesuai kep KPU. MPR mungkin lupa hal yg mendasar Krn MK telah merubah aturan yg tendensius utk memuluskan anak bego","1917031542792327338","","papuamuslim08","in","","0","0","0","https://x.com/undefined/status/1917031542792327338","1398186391",
